#time =  3.8000250E+02
#  y  y+  u  u+  v+  w+ uu+ vv+ ww+ uv+


#x =  1.0000000E+00
  7.893320002E-02  6.996326009E+01  6.498779604E-01  1.599398886E+01  9.215032898E-03  5.382880299E-03  3.166611440E+00  9.743199739E-01  1.504800248E+00 -8.663506390E-01
  8.212698327E-02  7.279410298E+01  6.542805180E-01  1.610233914E+01  9.833151450E-03  1.201866867E-02  3.083530254E+00  9.763154132E-01  1.496611820E+00 -8.612594904E-01
  8.543959357E-02  7.573026946E+01  6.587161716E-01  1.621150393E+01  1.053097878E-02  1.932664051E-02  3.004119374E+00  9.779853408E-01  1.488994881E+00 -8.554303623E-01
  8.887536740E-02  7.877560321E+01  6.631682549E-01  1.632107308E+01  1.130760657E-02  2.695456655E-02  2.929260409E+00  9.795772947E-01  1.482385619E+00 -8.492373822E-01
  9.243879306E-02  8.193408248E+01  6.676251917E-01  1.643076167E+01  1.213212699E-02  3.439208182E-02  2.863022785E+00  9.813861040E-01  1.478391033E+00 -8.425895916E-01
  9.613451542E-02  8.520982431E+01  6.720329655E-01  1.653924032E+01  1.289143075E-02  4.132041303E-02  2.806067844E+00  9.832340716E-01  1.475714154E+00 -8.366102003E-01
  9.996734094E-02  8.860708894E+01  6.764081394E-01  1.664691666E+01  1.358578353E-02  4.762963467E-02  2.753504161E+00  9.847740522E-01  1.473987936E+00 -8.319679761E-01
  1.039422426E-01  9.213028427E+01  6.808084229E-01  1.675521097E+01  1.411875873E-02  5.332160687E-02  2.705435488E+00  9.861072161E-01  1.474485752E+00 -8.285422801E-01
  1.080643653E-01  9.578397042E+01  6.852628694E-01  1.686483828E+01  1.450256514E-02  5.840704432E-02  2.662757357E+00  9.873985479E-01  1.477435464E+00 -8.262635340E-01
  1.123390307E-01  9.957286444E+01  6.897748023E-01  1.697588036E+01  1.479612727E-02  6.286388043E-02  2.625984772E+00  9.888533795E-01  1.482386864E+00 -8.249589732E-01
  1.167717431E-01  1.035018450E+02  6.943285630E-01  1.708795186E+01  1.505418129E-02  6.661177399E-02  2.594630973E+00  9.907020227E-01  1.488566092E+00 -8.242610441E-01
  1.213681945E-01  1.075759574E+02  6.988998724E-01  1.720045525E+01  1.529846755E-02  6.951150637E-02  2.567352077E+00  9.931928487E-01  1.495155577E+00 -8.236335056E-01
  1.261342705E-01  1.118004183E+02  7.034683341E-01  1.731288855E+01  1.551923382E-02  7.139428403E-02  2.542875864E+00  9.965875236E-01  1.501440776E+00 -8.225522164E-01
  1.310760559E-01  1.161806209E+02  7.080284388E-01  1.742511618E+01  1.570613138E-02  7.211633671E-02  2.521341684E+00  1.001138817E+00  1.506792749E+00 -8.208166053E-01
  1.361998402E-01  1.207221403E+02  7.125918846E-01  1.753742604E+01  1.588778267E-02  7.161479255E-02  2.504945056E+00  1.007007629E+00  1.510527966E+00 -8.188275659E-01
  1.415121241E-01  1.254307382E+02  7.171684635E-01  1.765005911E+01  1.612219087E-02  6.990581178E-02  2.495492015E+00  1.014036111E+00  1.511833586E+00 -8.173960477E-01
  1.470196249E-01  1.303123686E+02  7.217042651E-01  1.776168863E+01  1.631594319E-02  6.690685741E-02  2.484353471E+00  1.021229760E+00  1.510212403E+00 -8.161640240E-01
  1.527292828E-01  1.353731831E+02  7.262138496E-01  1.787267292E+01  1.660040284E-02  6.342235643E-02  2.474054075E+00  1.029054901E+00  1.507415287E+00 -8.157803195E-01
  1.586482671E-01  1.406195362E+02  7.307033064E-01  1.798316185E+01  1.672483119E-02  5.909380250E-02  2.447198604E+00  1.036535252E+00  1.501519504E+00 -8.173119730E-01
  1.647839823E-01  1.460579909E+02  7.352511885E-01  1.809508867E+01  1.688350085E-02  5.359167604E-02  2.415703948E+00  1.043746570E+00  1.493817913E+00 -8.176609538E-01
